model,best_accu_test_iter,best_accu_test_test,best_accu_test_noise,best_accu_test_adv,best_accu_test_sigmoid,best_accu_test_softmax,best_accu_noise_iter,best_accu_noise_test,best_accu_noise_noise,best_accu_noise_adv,best_accu_noise_sigmoid,best_accu_noise_softmax,best_accu_adv_iter,best_accu_adv_test,best_accu_adv_noise,best_accu_adv_adv,best_accu_adv_sigmoid,best_accu_adv_softmax,best_sigmoid_iter,best_sigmoid_test,best_sigmoid_noise,best_sigmoid_adv,best_sigmoid_sigmoid,best_sigmoid_softmax,best_softmax_iter,best_softmax_test,best_softmax_noise,best_softmax_adv,best_softmax_sigmoid,best_softmax_softmax
mnist_nn_no_hidden_biprop,26000,0.8854,0.7229,0.4018,0.0,1.0,1000,0.8742,0.8631,0.342,0.0,1.0,22500,0.8828,0.7267,0.4206,0.0,1.0,500,0.8703,0.8608,0.2895,0.0,0.9999968,500,0.8703,0.8608,0.2895,0.0,0.9999968
mnist_nn_no_hidden_halfbiprop,46500,0.9202,0.3469,0.0781,0.0,1.0,1000,0.8742,0.8631,0.342,0.0,1.0,22500,0.8828,0.7267,0.4206,0.0,1.0,500,0.8703,0.8608,0.2895,0.0,0.9999968,500,0.8703,0.8608,0.2895,0.0,0.9999968
mnist_nn_no_hidden_nobias_backprop,9500,0.9273,0.7138,0.0417,3.3433384e-12,1.0,500,0.9132,0.9065,0.047,0.04472707695972005,0.9982690437685575,0,0.1153,0.1178,0.0934,1.049176855327214,1.2946415470055248,27500,0.9223,0.6213,0.0445,0.0,1.0,500,0.9132,0.9065,0.047,0.04472707695972005,0.9982690437685575
mnist_nn_no_hidden_nobias_biprop,42000,0.8781,0.6419,0.6014,0.0,1.0,1500,0.876,0.8638,0.5216,0.0,1.0,40000,0.8733,0.6678,0.6097,0.0,1.0,500,0.8681,0.8625,0.329,0.0,0.99999857,500,0.8681,0.8625,0.329,0.0,0.99999857
mnist_nn_no_hidden_nobias_halfbiprop,38000,0.9265,0.3216,0.045,0.0,1.0,1500,0.876,0.8638,0.5216,0.0,1.0,18000,0.8742,0.7258,0.6091,0.0,1.0,500,0.8681,0.8625,0.329,0.0,0.99999857,500,0.8681,0.8625,0.329,0.0,0.99999857
mnist_nn_one_hidden_backprop,13000,0.9484,0.6478,0.0314,0.9960772376463426,0.9452887288753474,500,0.9014,0.8828,0.0501,0.9352707521188238,0.615374799240464,0,0.1289,0.1176,0.0757,1.0018072154540352,0.9964510626431041,500,0.9014,0.8828,0.0501,0.9352707521188238,0.615374799240464,500,0.9014,0.8828,0.0501,0.9352707521188238,0.615374799240464
mnist_nn_one_hidden_biprop,32500,0.9176,0.412,0.1148,0.9834236,0.5935892,1000,0.8898,0.5811,0.1779,0.6505355360175185,0.17460111009065318,1000,0.8898,0.5811,0.1779,0.6505355360175185,0.17460111009065318,500,0.8793,0.5478,0.1231,0.6116050681988257,0.1518591476741838,500,0.8793,0.5478,0.1231,0.6116050681988257,0.1518591476741838
mnist_nn_one_hidden_halfbiprop,48500,0.9397,0.407,0.0949,0.9811792,0.54588294,1000,0.8898,0.5811,0.1779,0.6505355360175185,0.17460111009065318,1000,0.8898,0.5811,0.1779,0.6505355360175185,0.17460111009065318,500,0.8793,0.5478,0.1231,0.6116050681988257,0.1518591476741838,500,0.8793,0.5478,0.1231,0.6116050681988257,0.1518591476741838
mnist_nn_one_hidden_nobias_backprop,20000,0.9456,0.6502,0.0318,0.9983977594231934,0.98436487,500,0.9012,0.8772,0.0477,0.9448205334530266,0.7115569706086278,0,0.1289,0.1176,0.0757,1.0018072154540352,0.9964510626431041,500,0.9012,0.8772,0.0477,0.9448205334530266,0.7115569706086278,500,0.9012,0.8772,0.0477,0.9448205334530266,0.7115569706086278
mnist_nn_one_hidden_nobias_biprop,16500,0.905,0.5148,0.0814,0.5,0.1,1500,0.8831,0.6475,0.1406,0.500000050000005,0.10000329010824456,1000,0.8778,0.5801,0.1414,0.5000001200000288,0.10002184977308293,2000,0.8846,0.6162,0.1392,0.5,0.10000173002992953,10500,0.902,0.5048,0.0937,0.5,0.1
mnist_nn_one_hidden_nobias_halfbiprop,49000,0.9338,0.3807,0.06,0.99238515,0.6429326,1500,0.8831,0.6475,0.1406,0.500000050000005,0.10000329010824456,1000,0.8778,0.5801,0.1414,0.5000001200000288,0.10002184977308293,2000,0.8846,0.6162,0.1392,0.5,0.10000173002992953,10500,0.902,0.5048,0.0937,0.5,0.1
mnist_nn_two_hidden_backprop,37000,0.9451,0.4826,0.0506,0.9999464998341495,0.9999433996886983,1000,0.9014,0.7882,0.0547,0.9948245004594557,0.9532416404279836,0,0.0892,0.0892,0.0892,1.0028335739251708,1.007189440122606,500,0.7937,0.7697,0.0575,0.973434419992055,0.7742417717203879,500,0.7937,0.7697,0.0575,0.973434419992055,0.7742417717203879
mnist_nn_two_hidden_biprop,6500,0.9042,0.6425,0.2211,7.578178176964544e-10,0.8227086549351652,28000,0.886,0.6925,0.3639,0.0,0.78939474277098,48000,0.8756,0.6711,0.4442,0.0,0.7800625191118875,16500,0.8876,0.6663,0.2248,0.0,0.670852105493414,500,0.8826,0.5776,0.1235,0.09595530948874453,0.2740215362279971
mnist_nn_two_hidden_halfbiprop,47500,0.9247,0.6984,0.3476,0.0,0.9239332129894354,39000,0.9167,0.7212,0.3515,0.0,0.9097772383310325,46500,0.9189,0.6625,0.3774,0.0,0.8211562868790498,16500,0.8876,0.6663,0.2248,0.0,0.670852105493414,500,0.8826,0.5776,0.1235,0.09595530948874453,0.2740215362279971
mnist_nn_two_hidden_nobias_backprop,27000,0.9477,0.6051,0.0413,0.9999074897354207,0.9995369970830816,1000,0.9012,0.7996,0.0566,0.9951513339128811,0.9585805185500754,0,0.0892,0.0892,0.0892,1.0028335739251708,1.007189440122606,500,0.7985,0.7768,0.054,0.971501132264074,0.7653246864754298,500,0.7985,0.7768,0.054,0.971501132264074,0.7653246864754298
mnist_nn_two_hidden_nobias_biprop,5500,0.9038,0.6496,0.1702,0.00014639478777672308,0.47857839761062315,15000,0.8908,0.7455,0.2379,0.09624985305864789,0.9667237169804433,41500,0.8829,0.66,0.3635,4.768421890591844e-19,0.8834539854617219,45000,0.8737,0.5997,0.3329,2.0788327085317719e-22,0.9113714615905275,500,0.8487,0.581,0.178,0.061775529194180466,0.2359044582124059
mnist_nn_two_hidden_nobias_halfbiprop,41500,0.9279,0.7474,0.3171,4.672122399831851e-11,0.9870579239877662,47500,0.9153,0.7736,0.3655,2.0580439538328568e-08,0.9917347619461353,46000,0.9199,0.7265,0.3893,3.894770453638125e-19,0.9876481860154585,46500,0.9237,0.7255,0.3533,1.4148380369968726e-19,0.9852167731271994,500,0.8487,0.581,0.178,0.061775529194180466,0.2359044582124059
