model,best_accu_test_iter,best_accu_test_test,best_accu_test_noise,best_accu_test_adv,best_accu_test_sigmoid,best_accu_test_softmax,best_accu_noise_iter,best_accu_noise_test,best_accu_noise_noise,best_accu_noise_adv,best_accu_noise_sigmoid,best_accu_noise_softmax,best_accu_adv_iter,best_accu_adv_test,best_accu_adv_noise,best_accu_adv_adv,best_accu_adv_sigmoid,best_accu_adv_softmax,best_sigmoid_iter,best_sigmoid_test,best_sigmoid_noise,best_sigmoid_adv,best_sigmoid_sigmoid,best_sigmoid_softmax,best_softmax_iter,best_softmax_test,best_softmax_noise,best_softmax_adv,best_softmax_sigmoid,best_softmax_softmax
c10-cifar_gan_nn_one_hidden_nobias_backprop,35000,0.5187,0.5162,0.1766,0.9948031870079675,0.9429322129259285,35000,0.5187,0.5162,0.1766,0.9948031870079675,0.9429322129259285,5000,0.4717,0.4659,0.2269,0.9289329505086963,0.5755218205445793,5000,0.4717,0.4659,0.2269,0.9289329505086963,0.5755218205445793,5000,0.4717,0.4659,0.2269,0.9289329505086963,0.5755218205445793
c10-cifar_gan_nn_one_hidden_nobias_biprop,470000,0.4565,0.433,0.1536,1.0,1.0,470000,0.4565,0.433,0.1536,1.0,1.0,475000,0.4248,0.4004,0.1794,1.0,1.0,5000,0.2939,0.2949,0.1625,0.88825965,0.57106507,5000,0.2939,0.2949,0.1625,0.88825965,0.57106507
c10-cifar_gan_nn_one_hidden_nobias_halfbiprop,465000,0.4663,0.4509,0.1482,1.0,0.99999917,465000,0.4663,0.4509,0.1482,1.0,0.99999917,260000,0.3668,0.353,0.1874,1.0,0.9999993,5000,0.2939,0.2949,0.1625,0.88825965,0.57106507,5000,0.2939,0.2949,0.1625,0.88825965,0.57106507
c10-cifar_nn_four_hidden_backprop,48000,0.4204,0.4159,0.3483,0.9699614551402422,0.7539994449930744,48000,0.4204,0.4159,0.3483,0.9699614551402422,0.7539994449930744,49500,0.4187,0.4114,0.3558,0.9578808474191141,0.7523192550825615,2500,0.2194,0.2198,0.1851,0.7830857303037694,0.5732996269710848,23500,0.3688,0.3633,0.3082,0.8939140168528168,0.5567582476927684
c10-cifar_nn_four_hidden_biprop,50000,0.4337,0.4233,0.3716,0.9715382121665849,0.8049493789454799,44000,0.4249,0.4261,0.3622,0.9822416286678659,0.8954378863663873,50000,0.4337,0.4233,0.3716,0.9715382121665849,0.8049493789454799,500,0.1896,0.1888,0.1587,0.7112408301414221,0.3612730299796098,500,0.1896,0.1888,0.1587,0.7112408301414221,0.3612730299796098
c10-cifar_nn_four_hidden_halfbiprop,48500,0.4383,0.4272,0.3561,0.9572333387112685,0.7404848831328372,46500,0.4324,0.4319,0.3548,0.9794813175312412,0.8044302849840363,45500,0.4225,0.4175,0.3699,0.9417123894991793,0.728575031925828,500,0.1896,0.1888,0.1587,0.7112408301414221,0.3612730299796098,500,0.1896,0.1888,0.1587,0.7112408301414221,0.3612730299796098
c10-cifar_nn_four_hidden_nobias_backprop,50000,0.4208,0.4137,0.351,0.9790302857367519,0.8627978004029678,46000,0.4186,0.4159,0.3516,0.9714923262912172,0.8483513891877356,47500,0.4158,0.4105,0.3668,0.9766200881782415,0.7756631288947503,1000,0.1763,0.1722,0.1563,0.7427114577793602,0.5209589181611475,1000,0.1763,0.1722,0.1563,0.7427114577793602,0.5209589181611475
c10-cifar_nn_four_hidden_nobias_biprop,47500,0.4314,0.4283,0.3596,0.9807803593248042,0.8289453560393018,47500,0.4314,0.4283,0.3596,0.9807803593248042,0.8289453560393018,43500,0.4246,0.4165,0.3664,0.9623992399219677,0.7381563401271198,500,0.2337,0.2291,0.1997,0.7147395174756279,0.4411563648892639,500,0.2337,0.2291,0.1997,0.7147395174756279,0.4411563648892639
c10-cifar_nn_four_hidden_nobias_halfbiprop,47000,0.4433,0.4334,0.3658,0.9910591218837311,0.8359249563291359,50000,0.44,0.4361,0.3591,0.9681579934908238,0.6448982862190256,46000,0.4344,0.4334,0.3746,0.9937280813925186,0.8948720630715016,500,0.2337,0.2291,0.1997,0.7147395174756279,0.4411563648892639,500,0.2337,0.2291,0.1997,0.7147395174756279,0.4411563648892639
c10-cifar_nn_no_hidden_backprop,11000,0.3825,0.3783,0.1845,0.9999988,0.9954695441296617,11000,0.3825,0.3783,0.1845,0.9999988,0.9954695441296617,36000,0.3219,0.3112,0.2102,1.0,1.0003554286575356,1500,0.3635,0.3599,0.1852,0.99998889999889,0.9967214790825565,4500,0.3705,0.362,0.1786,0.99999213,0.985349989516011
c10-cifar_nn_no_hidden_biprop,47500,0.3332,0.3242,0.2872,1.0,0.99605656,47500,0.3332,0.3242,0.2872,1.0,0.99605656,47000,0.3192,0.3166,0.2907,1.0,0.99876773,500,0.3062,0.3014,0.2631,1.0,0.9999999,49500,0.3177,0.3078,0.2778,1.0,0.9878563
c10-cifar_nn_no_hidden_halfbiprop,48500,0.3591,0.3449,0.1807,1.0,0.9994069263229431,38500,0.3544,0.3555,0.1649,1.0,0.9938685234563999,23000,0.323,0.317,0.2862,1.0,0.9989674,500,0.3062,0.3014,0.2631,1.0,0.9999999,26500,0.3155,0.3077,0.2061,1.0,0.8469054140062358
c10-cifar_nn_no_hidden_nobias_backprop,11000,0.3769,0.373,0.1853,0.99999905,0.9960695487039362,11000,0.3769,0.373,0.1853,0.99999905,0.9960695487039362,36000,0.3143,0.3017,0.2127,1.0,1.0004704688401787,1500,0.3589,0.3576,0.1881,0.9999893,0.9967191142875762,4500,0.3655,0.3587,0.1799,0.999992,0.9855629975422053
c10-cifar_nn_no_hidden_nobias_biprop,47500,0.3211,0.3203,0.2711,0.0,0.9999782,47500,0.3211,0.3203,0.2711,0.0,0.9999782,47000,0.3101,0.3096,0.2736,0.0,0.9999999,500,0.3072,0.3059,0.2581,0.0,0.9999999,6000,0.3086,0.3012,0.2618,0.0,0.99808156
c10-cifar_nn_no_hidden_nobias_halfbiprop,45000,0.374,0.3678,0.1882,0.0,0.9725903937731248,36500,0.3684,0.3691,0.1929,0.0,0.9477675972421138,23000,0.3071,0.3033,0.2732,0.0,0.99978834,500,0.3072,0.3059,0.2581,0.0,0.9999999,26500,0.3439,0.3328,0.185,0.0,0.7860116359282869
c10-cifar_nn_one_hidden_backprop,37000,0.4009,0.3991,0.2849,0.9497034795002091,0.7600541154436534,38500,0.3999,0.4015,0.2789,0.9496569426427734,0.7935071044238209,46500,0.3903,0.3848,0.2941,0.9331343834716348,0.7343525701586914,15000,0.3784,0.3704,0.261,0.8665637755625454,0.5923015973616534,2500,0.343,0.3385,0.2466,0.8794845806083422,0.5905850431856814
c10-cifar_nn_one_hidden_biprop,49500,0.3625,0.36,0.3054,0.9421882478831004,0.5324108647905643,49500,0.3625,0.36,0.3054,0.9421882478831004,0.5324108647905643,42000,0.3445,0.3389,0.3153,0.9429675249121257,0.5462697592944341,43000,0.3509,0.3481,0.309,0.5059751183365743,0.6033349304523026,1000,0.2664,0.2615,0.2364,0.7826553614645528,0.3985036380534805
